Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Wade Miley","CIN",1.32403,1.95007,1.48864,5.34178,4.558,4.469,0,0,,22.6947,100.321,24.9205,14.44,13.47,3.70728,8.58085,0.0661916,0.950178,13.3698,5.30205,3.40289,1.5581,1.47019,0.133271,0.0855341,0.04773662984371185,0.274486,1.47618,0.287783,0.673281,,,5.37175,0.0259544,0.0205251,999,,,,,,,52.000000000000014,2.260869565217392,59,2.5652173913043477,,,,,,,,,,,,,,,,,,,"Wade Miley","8779",489119
"Erik Swanson","TOR",1.58519,1.39621,0,4.59931,43.174,0,3,0.6586,,43.637,185.189,40.5563,23.89,22.3,7.5596,14.0299,0.780842,1.92662,41.7363,8.60798,2.89363,2.9748,1.55915,0.225371,0.0757598,0.1496107429265976,0.239648,1.25092,0.275117,0.697598,,,4.60269,0.0243853,-0.1116,999,,,,,,,175.60000000000005,3.990909090909092,171,3.8863636363636362,,,,,,,,,,,,,,,,,,,"Erik Swanson","16587",657024
"Michael Mercado","PHI",0.849139,0.848174,0,4.63289,20.151,0.616,0,0.594,,27.158,117.357,24.8426,15.01,13.98,4.45178,11.0882,0.668373,1.3531,26.3708,8.73912,3.67457,2.37827,1.47529,0.224707,0.0944832,0.13022326678037643,0.236788,1.32303,0.275207,0.704445,,,4.72976,0.0234705,-0.0398963,999,,,,,,,105.60000000000002,3.911111111111112,103,3.814814814814815,,,,,,,,,,,,,,,,,,,"Michael Mercado","23223",675650
"Amir Garrett","TOR",0.409043,0.329,0,4.19863,10.9,0,0,0,,10.482,45.4701,8.24038,5.23,4.89,1.27585,6.02322,0.23996,0.589316,12.1669,10.4467,5.17163,2.02,1.09546,0.26758,0.132466,0.13511453568935394,0.212066,1.36077,0.274034,0.723996,,,4.31987,0.0229899,0.0213755,999,,,,,,,43.900000000000006,4.390000000000001,40,4,,,,,,,,,,,,,,,,,,,"Amir Garrett","14375",607237
"Colten Brewer","NYY",0.80037,0.58928,0,4.55173,20.233,0,0,0.6695,,22.1652,96.4197,20.9659,12,11.21,2.78934,9.30909,0.444421,1.35432,20.4185,8.29075,3.77988,2.19339,1.13259,0.211767,0.0965476,0.11521893739700317,0.244482,1.36588,0.290599,0.693024,,,4.40332,0.0229531,-0.0557657,999,,,,,,,85.30000000000001,3.877272727272728,85,3.8636363636363638,,,,,,,,,,,,,,,,,,,"Colten Brewer","12997",605155
"JT Chargois","TEX",0.824915,0.590375,0,4.32114,18.281,0.194,0,0.6265,,18.7034,79.763,16.8705,9.62,8.98,2.3916,6.93463,0.390259,1.14378,16.3995,7.89138,3.33692,2.36487,1.15083,0.205603,0.0869405,0.11866241693496704,0.235343,1.27277,0.273736,0.693415,,,4.37092,0.0222097,-0.0108723,999,,,,,,,83.8,4.410526315789474,81,4.2631578947368425,,,,,,,,,,,,,,,,,,,"JT Chargois","13767",608638
"T.J. McFarland","ATH",2.49889,2.07246,0,4.34998,58.497,0,0,12.4683,,52.5933,226.955,52.9938,27.37,25.42,5.65738,18.2443,1.71427,2.83864,38.2674,6.5485,3.12205,2.0975,0.968117,0.168613,0.0803875,0.08822525292634964,0.257412,1.35451,0.292296,0.692825,,,4.31225,0.0219671,0.0617221,999,,,,,,,241.60000000000002,4.558490566037737,248,4.679245283018868,,,,,,,,,,,,,,,,,,,"T.J. McFarland","3237",519008
"Joe Jacques","LAD",0.410496,0.249647,0,4.18916,9.02,0.053,0,0.724,,9.6678,42.084,9.29491,4.84,4.5,0.879427,4.12301,0.250826,0.633546,7.83235,7.29133,3.83821,1.89967,0.818681,0.186112,0.0979708,0.08814135938882828,0.24901,1.3879,0.294086,0.703874,,,4.20472,0.0217507,0.0213759,999,,,,,,,43.300000000000004,4.33,42,4.2,,,,,,,,,,,,,,,,,,,"Joe Jacques","25178",682175
"Lucas Sims","WSN",2.30328,1.92777,0,4.54001,52.401,0,1,11.0402,,52.8104,229.68,43.0771,28.5,26.64,7.60211,27.2917,1.13613,3.94166,56.6423,9.65304,4.65107,2.07544,1.29556,0.246614,0.118825,0.12778901308774948,0.217071,1.33248,0.264339,0.701016,,,4.667,0.0211625,-0.0411591,749.0999755859375,,,,,,,252.00000000000006,4.754716981132076,231,4.3584905660377355,,,,,,,,,,,,,,,,,,,"Lucas Sims","13470",608371
"Jake Eder","CHW",0.344879,0.343911,0,4.25795,9.364,0.07,0,0.6027,,10.5896,46.3065,9.64062,5.38,5.01,1.16178,5.13365,0.289218,0.60804,10.2235,8.68886,4.36304,1.99147,0.987383,0.220779,0.110862,0.10991667211055756,0.23766,1.39517,0.290575,0.714514,,,4.28844,0.0208485,0.0753271,999,,,,,,,49.10000000000001,4.463636363636365,48,4.363636363636363,,,,,,,,,,,,,,,,,,,"Jake Eder","27590",671109
